ticker,active_weight,factor_beta,contribution,abs_contribution
RCMT,0.0005929162750942011,2.266686800237382,0.001343955494401942,0.001343955494401942
IP,0.0016516313291440603,2.155307031813887,0.00355977261766831,0.00355977261766831
VRSN,0.01910636495609322,1.9862744940608004,0.03795048538650506,0.03795048538650506
NFG,0.004334836959995966,1.9373887696365975,0.008398264444501834,0.008398264444501834
GS,0.0065455395760085425,1.9240501903156213,0.012593946666937667,0.012593946666937667
FLXS,0.003279735051727963,1.8839620408013733,0.00617889634134121,0.00617889634134121
SFM,0.011926166599449745,1.8703349062132038,0.022305925688264883,0.022305925688264883
MSFT,0.009868627296024723,1.8551918824087088,0.018308197250102073,0.018308197250102073
SMPL,0.0005141530085551886,1.8197681068934197,0.0009356392470320318,0.0009356392470320318
NIQ,0.003065264788096493,1.8196777839988658,0.005577794236973179,0.005577794236973179
PEG,0.0021574392322555383,1.7949794295399404,0.003872559042381133,0.003872559042381133
BAH,0.00641834416129171,1.7410853875769465,0.01117488523166481,0.01117488523166481
TXN,0.014119787425470279,1.7371485149816324,0.02452816775801202,0.02452816775801202
BX,0.014327147678718415,1.732676191366559,0.02482430767310806,0.02482430767310806
V,-0.0005730067300757369,1.696408764714974,-0.0009720536391411473,0.0009720536391411473
RJF,-0.0002908448614886885,1.6856828940750461,-0.0004902722078411084,0.0004902722078411084
AVGO,-0.01917633159658931,1.6819291210874197,-0.032253230547932374,0.032253230547932374
OGN,0.016151316973685704,1.631396344025401,0.02634919946206626,0.02634919946206626
GOOGL,0.006167012748265699,1.621162327579349,0.009997728741189938,0.009997728741189938
SFD,0.0024582412912507673,1.6203381585095054,0.003983182167037297,0.003983182167037297
TNXP,0.0002822906156944303,1.5932769265137616,0.0004497671245572994,0.0004497671245572994
TR,0.01857082370386608,1.5914044351003913,0.029553691205799957,0.029553691205799957
PM,0.006205201131021937,1.590825207284717,0.009871390375501334,0.009871390375501334
SRRK,0.00037509515418774947,1.5761766191581124,0.0005912162119902378,0.0005912162119902378
HWKN,0.006893863377302162,1.5750859552799157,0.0108584273832072,0.0108584273832072
VRNS,0.008794127455889842,1.5731514844126964,0.013834494661347554,0.013834494661347554
NVDA,-0.007057765856749963,1.5411238371436118,-0.010876891198815674,0.010876891198815674
MOH,0.0018207481462274363,1.5336290980630787,0.0027923523372988058,0.0027923523372988058
CHWY,0.005015602904579052,1.5302899440433457,0.007675326688191921,0.007675326688191921
PGR,0.008547138387616095,1.5175592757845124,0.012970789141540685,0.012970789141540685
CMCL,0.001338787793969471,1.5170651899409127,0.002031028358948871,0.002031028358948871
SNDA,0.004570594418061394,1.4897443987467431,0.006809017433250093,0.006809017433250093
BKKT,0.0006283641130729352,1.4895076154773568,0.0009359531317148119,0.0009359531317148119
HALO,0.0021686966165521747,1.4855714263522184,0.003221753725976644,0.003221753725976644
AMZN,0.0021877995366807595,1.4714773095020548,0.003219297375964846,0.003219297375964846
BRK.B,0.02525791410365261,1.449593162689841,0.036613699588462126,0.036613699588462126
ABBV,0.0019683794430893258,1.4470459150565718,0.0028483354324037387,0.0028483354324037387
ADI,0.013776931428528826,1.444210580522543,0.019896790136214884,0.019896790136214884
APPF,0.003375262295974067,1.4417634479203945,0.004866329805479278,0.004866329805479278
WMB,0.008925149894055903,1.4056802696349606,0.012545907109608942,0.012545907109608942
EFX,0.010771324865340243,1.3966939399179004,0.015044244164307712,0.015044244164307712
TSLA,-0.017340322423365053,1.3870637069349137,-0.024052131899999336,0.024052131899999336
ITGR,0.01122195557591718,1.3670908771044812,0.015341433091108142,0.015341433091108142
TRGP,0.003876506103046122,1.363594836147207,0.005285983704406825,0.005285983704406825
MOS,0.0035959112819937923,1.3591687781971749,0.004887450343652939,0.004887450343652939
T,0.004589520616007817,1.3562730814311361,0.006224643268164649,0.006224643268164649
FAST,-0.00043285842313205554,1.3508203179792093,-0.0005847139527752224,0.0005847139527752224
CMDB,0.0007996975493411879,1.3458247705697113,0.0010762527708672645,0.0010762527708672645
NTLA,0.0031543128331064504,1.3286533959241338,0.00419098845751396,0.00419098845751396
BA,0.00027969794225025544,1.2701175762645744,0.00035524927249708336,0.00035524927249708336
ORCL,-0.010111938468177777,1.2667687040206805,-0.012809487188470428,0.012809487188470428
FFIV,0.0174535837895507,1.2584062823477615,0.021963699490253653,0.021963699490253653
MA,0.015424210809553331,1.2503233077749436,0.019285250279218763,0.019285250279218763
MSI,0.0010899562431575108,1.2411690569203477,0.001352819962404253,0.001352819962404253
EA,0.0058352851567568895,1.2314534575001579,0.007185882081787622,0.007185882081787622
ALNY,-0.00039418547058244467,1.225439357270976,-0.00048305038971610824,0.00048305038971610824
GEO,0.0013039469308327274,1.2194803863264694,0.0015901377069611085,0.0015901377069611085
INTU,-0.0019105344640154085,1.1905845036894378,-0.002274652726621351,0.002274652726621351
NAGE,0.0031049318040274896,1.1887369119593156,0.003690947044563905,0.003690947044563905
WRBY,0.006393475208739892,1.183833543535354,0.007568810411867983,0.007568810411867983
LRN,0.03958728699181011,1.1793845566873455,0.04668863491929069,0.04668863491929069
LWAY,0.008600301997236135,1.1610038459403622,0.009984983695039732,0.009984983695039732
AAPL,0.0008028721128099797,1.153219990432206,0.0009258881702530099,0.0009258881702530099
ABT,0.007155529376939623,1.142535071444854,0.008175443267907463,0.008175443267907463
LENZ,0.008349309785058646,1.1417873529532405,0.0095331363184687,0.0095331363184687
ICE,0.0061701507102923745,1.1246353539668925,0.006939169628098738,0.006939169628098738
ODC,0.00961513602919369,1.122240199758012,0.010790492178102786,0.010790492178102786
COP,-0.0011871953667832455,1.1121330482163108,-0.0013203192020889319,0.0013203192020889319
FMC,0.02163652853584597,1.105023919257422,0.023908881561805567,0.023908881561805567
GME,0.0009216558668919333,1.0651982248506353,0.0009817461933364607,0.0009817461933364607
ARCT,0.011694380139623027,1.0536297525241811,0.012321546852434709,0.012321546852434709
VITL,0.010226363036977326,1.0415068577261775,0.010650827232609385,0.010650827232609385
LH,0.00388466424005314,1.031872310875234,0.004008477466358018,0.004008477466358018
SNWV,0.00490706726105878,0.990774027713025,0.004861794794497929,0.004861794794497929
CSGP,0.014152231230104152,0.9766640359341083,0.013821975270666252,0.013821975270666252
URI,-0.00002492402618953216,0.9185921356186756,-0.000022895014445658147,0.000022895014445658147
META,0.009165347326718615,0.918375807730402,0.008417233254304888,0.008417233254304888
JPM,-0.006560578808360125,0.912634155292182,-0.005987408298995532,0.005987408298995532
KMI,0.0009978216522804502,0.887121988507619,0.000885189528346991,0.000885189528346991
NFLX,0.01115403058246044,0.8731643615845779,0.009739301992628928,0.009739301992628928
BLK,0.009178119979870647,0.8700399557626732,0.007985331101271165,0.007985331101271165
COUR,0.004770013675380368,0.8599291675913825,0.004101873889269351,0.004101873889269351
PPC,0.0012212985074864398,0.8593759031844558,0.0010495545079289871,0.0010495545079289871
PCRX,0.004923957794776781,0.8504998655448477,0.004187825442406157,0.004187825442406157
WINA,0.003709674236868256,0.8421225089716725,0.0031240001758190703,0.0031240001758190703
LNN,0.005871187823721712,0.8105852468515087,0.004759098231403036,0.004759098231403036
MS,-0.0024742814391908712,0.806011771812329,-0.0019942999667645935,0.0019942999667645935
AM,0.0005173124393493821,0.747696974940166,0.00038679294600045105,0.00038679294600045105
CPNG,0.0015406138354186,0.7295700316848268,0.0011239856847204306,0.0011239856847204306
RBLX,0.003453337181656328,0.702462673815492,0.0024258404702127596,0.0024258404702127596
SGHC,0.005254795949453015,0.6673499625965399,0.003506787880319919,0.003506787880319919
GEV,-0.001131021969142116,0.6634281819302155,-0.0007503518487110863,0.0007503518487110863
CVLT,0.01129693729449689,0.659917487215009,0.0074550464726099094,0.0074550464726099094
DNTH,0.0007385263671866581,0.6170855340852727,0.00045573393773143514,0.00045573393773143514
KLAC,0.007010417156079753,0.6106703130234896,0.0042810536391284645,0.0042810536391284645
GE,0.0025339564581529656,0.5627520766375436,0.001425989258934696,0.001425989258934696
DORM,0.0011387887898690657,0.5626781241870539,0.000640771540128771,0.000640771540128771
GOOG,0.008301712113668317,0.5093918966095503,0.004228824878687983,0.004228824878687983
CASY,0.0028821820647846733,0.505015711042561,0.0014555472248013485,0.0014555472248013485
AARD,0.0006026887996981929,0.46892403974448954,0.0002826152666632341,0.0002826152666632341
TDY,0.010172512567870124,0.4666389774301071,0.004746890862565828,0.004746890862565828
ETON,0.0009936129533697235,0.43971031065366295,0.0004369018603957046,0.0004369018603957046
ETN,-0.0013741811582361257,0.4333743751639008,-0.0005955349008125865,0.0005955349008125865
RMD,0.004002358656642066,0.33893310331847265,0.0013565318400892488,0.0013565318400892488
DRS,0.013139667673700655,0.3145729213915685,0.00413338364623037,0.00413338364623037
BLBD,0.002552406257820202,0.2094733116160916,0.0005346609914152334,0.0005346609914152334
