ticker,cusip,weight
TSM US,874039100,14.58
NVDA US,67066G104,13.26
AVGO US,11135F101,7.48
MSFT US,594918104,6.79
GOOG US,02079K107,5.69
AMZN US,23135106,5.02
CDNS US,127387108,2.82
LRCX US,512807306,2.76
MELI US,58733R102,2.47
PGR US,743315103,2.41
INTU US,461202103,2.39
WDAY US,98138H101,2.33
KLAC US,482480100,2.2
ORCL US,68389X105,2.14
APP US,03831W108,1.83
APH US,32095101,1.77
MU US,595112103,1.66
DE US,244199105,1.65
SNOW US,833445109,1.6
ISRG US,46120E602,1.58
VST US,92840M102,1.52
NBIS US,N97284108,1.28
VRT US,92537N108,1.24
CEG US,21037T109,1.24
ETN US,G29183103,0.96
SHOP US,82509L107,0.92
BABA US,01609W102,0.88
SPOT US,L8681T102,0.81
NVMI US,M7516K103,0.81
LLY US,532457108,0.8
HWM US,443201108,0.75
IOT US,79589L106,0.65
SFTBY US,83404D109,0.64
TEAM US,49468101,0.62
DDOG US,23804L103,0.58
BX US,09260D107,0.58
LITE US,55024U109,0.57
ASML US,N07059210,0.52
COIN US,19260Q107,0.43
DASH US,25809K105,0.41
CRDO US,G25457105,0.29
TTAN US,81764X103,0.28
ANET US,40413205,0.26
MNDY US,M7S64H106,0.23
VIA US,92556W104,0.17
CRWV US,21873S108,0.14
NTSK US,64119N608,0